entity,n-authors,n-revs
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/ListCollectionMapper.java,3,3
hibernate-envers/src/main/java/org/hibernate/envers/synchronization/work/CollectionChangeWorkUnit.java,3,3
hibernate-core/src/main/java/org/hibernate/engine/jdbc/spi/ResultSetReturn.java,3,3
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/basic/RegisterUserEventListenersTest.java,3,3
hibernate-core/src/main/java/org/hibernate/dialect/TimesTenDialect.java,3,3
hibernate-core/src/test/java/org/hibernate/test/annotations/EntityTest.java,3,3
hibernate-testing/src/main/java/org/hibernate/testing/env/ConnectionProviderBuilder.java,3,3
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/jta/JtaTransaction.java,3,3
hibernate-core/src/matrix/java/org/hibernate/test/collection/custom/basic/User.java,3,3
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultInitializeCollectionEventListener.java,3,3
hibernate-envers/src/main/java/org/hibernate/envers/entities/mapper/ComponentPropertyMapper.java,3,3
hibernate-core/src/main/java/org/hibernate/mapping/Constraint.java,3,3
